name,sport,nationality,continent,year,event,feat,genre,image_name,info
Tai Tzu-ying,Badminton,Taiwan,Asie,2021,Simple,Médaille,Feminin,Tai-Tzu-ying.jpg,Première joueuse taiwanaise en argent
Aída dos Santos,Athlétisme,Brésil,Amérique du Sud,1968,Pentathlon,Participation,Feminin,Aida-dos-Santos.jpg,Première athlète brésilienne à participer
Jean Robotham,Athlétisme,Costa Rica,Amérique du Sud,1968,Pentathlon,Participation,Feminin,Jean-Robotham.jpg,Première athlète costaricaine à participer
Mercedes Román,Athlétisme,Mexique,Amérique du Nord,1968,Pentathlon,Participation,Feminin,Mercedes-Roman.jpg,Première athlète mexicaine à participer
Lolita Lagrosas,Athlétisme,Philippines,Asie,1968,Pentathlon,Participation,Feminin,Lolita-Lagrosas.jpg,Première athlète philipenne à participer
Liese Prokop,Athlétisme,Autriche,Europe,1968,Pentathlon,Médaille,Feminin,1024px-Liese_Prokop_Wien.jpg,Première athlète autrichienne en argent
Roswitha Emonts-Gast,Athlétisme,Belgique,Europe,1968,Pentathlon,Participation,Feminin,Roswitha-Emonts-Gast.jpg,Première athlète belge à participer
Snezhana Yurukova,Athlétisme,Bulgarie,Europe,1968,Pentathlon,Participation,Feminin,Snezhana-Yurukova.jpg,Première athlète bulgare à participer
Annamária Tóth,Athlétisme,Hongrie,Europe,1968,Pentathlon,Médaille,Feminin,Annamaria-Toth.jpg,Première athlète hongroise en bronze
Magalì Vettorazzo,Athlétisme,Italie,Europe,1968,Pentathlon,Participation,Feminin,Magali_Vettorazzo_1970.jpg,Première athlète italienne à participer
Cornelia Popa,Athlétisme,Roumanie,Europe,1968,Pentathlon,Participation,Feminin,Cornelia_Popescu.jpg,Première athlète roumaine à participer
Gunilla Cederström,Athlétisme,Suéde,Europe,1968,Pentathlon,Participation,Feminin,Gunilla_Cederstrom.jpg,Première athlète suédoise à participer
Meta Antenen,Athlétisme,Suisse,Europe,1968,Pentathlon,Participation,Feminin,Meta_Antenen_1972.jpg,Première athlète suissesse à participer
Sieglinde Ammann,Athlétisme,Suisse,Europe,1968,Pentathlon,Participation,Feminin,Sieglinde_Ammann_1968.jpg,Première athlète suissesse à participer
Modupe Oshikoya,Athlétisme,Nigéria,Afrique,1972,Pentathlon,Participation,Feminin,Modupe-Oshikoya.jpeg,Première athlète nigérianne à participer
Edith Noeding,Athlétisme,Pérou,Amérique du Sud,1972,Pentathlon,Participation,Feminin,Edith-Noeding.jpg,Première athlète péruvienne à participer
Lucía Vaamonde,Athlétisme,Vénézuela,Amérique du Sud,1972,Pentathlon,Participation,Feminin,Lucia-Vaamonde;jpg,Première athlète vénézuelienne à participer
Gladys Chai von der Laage,Athlétisme,Malaisie,Asie,1972,Pentathlon,Participation,Feminin,Gladys-Chai-von-der-Laage.jpg,Première athlète malaisienne à participer
Margaret Murphy,Athlétisme,Irlande,Europe,1972,Pentathlon,Participation,Feminin,Margaret-Murphy.jpg,Première athlète irlandaise à participer
Mary Peters,Athlétisme,Royaume-Uni,Europe,1972,Pentathlon,Titre,Feminin,MARY_PETERS_1_WEB.jpg,Première athlète britannique titrée
Andrea Bruce,Athlétisme,Jamaïque,Amérique du Sud,1976,Pentathlon,Participation,Feminin,penta-76.jpg,Première athlète jamaïcaine à participer
Ana María Desevici,Athlétisme,Uruguay,Amérique du Sud,1976,Pentathlon,Participation,Feminin,penta-76.jpg,Première athlète uruguayenne à participer
Miriama Tuisorisori-Chambault,Athlétisme,Fidji,Océanie,1976,Pentathlon,Participation,Feminin,Miriama-Tuisorisori-Chambault.jpg,Première athlète fidjienne à participer
Cécile Ngambi,Athlétisme,Cameroun,Afrique,1980,Pentathlon,Participation,Feminin,penta-80.jpg,Première athlète camerounaise à participer
Nancy Vallecilla,Athlétisme,Equateur,Amérique du Sud,1980,Pentathlon,Participation,Feminin,Nancy-Vallecilla.jpg,Première athlète equatorienne à participer
Małgorzata Guzowska,Athlétisme,Pologne,Europe,1980,Pentathlon,Participation,Feminin,Malgorzata-Guzowska.jpg,Première athlète polonaise à participer
Marcela Koblasová,Athlétisme,Tchécoslovaquie,Europe,1980,Pentathlon,Participation,Feminin,penta-80.jpg,Première athlète tchéque à particper
Jill Ross-Giffen,Athlétisme,Canada,Amérique du Nord,1984,Heptathlon,Participation,Feminin,Jill-Ross-Giffen.jpg,Première athlète canadienne à participer
Connie Polman-Tuin,Athlétisme,Canada,Amérique du Nord,1984,Heptathlon,Participation,Feminin,Connie-Polman-Tuin.jpg,Première athlète canadienne à participer
Donna Smellie,Athlétisme,Canada,Amérique du Nord,1984,Heptathlon,Participation,Feminin,Donna-Smellie.jpg,Première athlète canadienne à participer
Jackie Joyner-Kersee,Athlétisme,Etats-Unis,Amérique du Nord,1984;1988,Heptathlon,Médaille;Titre,Feminin,Jackie_Joyner-Kersee_Eugene_2014.jpg,Première athlète américaine en argent - Première athlète américaine titrée
Conceição Geremias,Athlétisme,Brésil,Amérique du Sud,1984,Heptathlon,Participation,Feminin,Salto_de_Conceicao.jpg,Première athlète brésilienne à participer
Iammogapi Launa,Athlétisme,Papouasie Nouvelle-Guinée,Océanie,1984,Heptathlon,Participation,Feminin,IMG_0741_Iammo_throwing_web.jpg,Première athlète papouasienne à participer
Tsai Lee-chiao,Athlétisme,Taiwan,Asie,1984,Heptathlon,Participation,Feminin,hepta-80.jpg,Première athlète taiwanaise à participer
Sabine Everts,Athlétisme,Allemagne,Europe,1984,Heptathlon,Médaille,Feminin,Sabine-Everts.jpg,Première athlète allemande en bronze
Florence Picaut,Athlétisme,France,Europe,1984,Heptathlon,Participation,Feminin,Florence-Picaut.jpg,Première athlète française à participer
Chantal Beaugeant,Athlétisme,France,Europe,1984,Heptathlon,Participation,Feminin,Chantal-Beaugeant.jpg,Première athlète française à participer
Manuela Marxer,Athlétisme,Liechtenstein,Europe,1984,Heptathlon,Participation,Feminin,Manuela-Marxer.jpg,Première athlète liechtensteinoise à participer
Tineke Hidding,Athlétisme,Pays-Bas,Europe,1984,Heptathlon,Participation,Feminin,Tineke_Hidding.JPG,Première athlète hollandaise à participer
Marjon Wijnsma,Athlétisme,Pays-Bas,Europe,1984,Heptathlon,Participation,Feminin,Marjon-Wijnsma.jpg,Première athlète hollandaise à participer
Judy Simpson,Athlétisme,Royaume-Uni,Europe,1984,Heptathlon,Participation,Feminin,Judy-Simpson.jpg,Première athlète britannique à participer
Kim Hagger,Athlétisme,Royaume-Uni,Europe,1984,Heptathlon,Participation,Feminin,Kim-Hagger.jpeg,Première athlète britannique à participer
Kristine Tånnander,Athlétisme,Suéde,Europe,1984,Heptathlon,Participation,Feminin,Kristine-Tannander.jpg,Première athlète suédoise à participer - Première soeur à s'affronter
Annette Tånnander,Athlétisme,Suéde,Europe,1984,Heptathlon,Participation,Feminin,Annette-Tannander.jpg,Première athlète suédoise à participer - Première soeur à s'affronter
Corinne Schneider,Athlétisme,Suisse,Europe,1984,Heptathlon,Participation,Feminin,Corinne-Schneider.jpg,Première athlète suissesse à participer
Glynis Nunn,Athlétisme,Australie,Océanie,1984,Heptathlon,Titre,Feminin,1982-CG-AT-Glynis-Nunn-CROP.jpg,Première athlète australienne titrée
Yasmina Azzizi-Kettab,Athlétisme,Algérie,Afrique,1988,Heptathlon,Participation,Feminin,Yasmina-Azzizi-Kettab.jpg,Première athlète algérienne à participer
Dong Yuping,Athlétisme,Chine,Asie,1988,Heptathlon,Participation,Feminin,Dong-Yuping.jpg,Première athlète chinoise à participer
Ji Jeong-mi,Athlétisme,Corée du Sud,Asie,1988,Heptathlon,Participation,Feminin,penta-88.jpg,Première athlète sud coréenne à participer
Sabine John,Athlétisme,Allemagne,Europe,1988,Heptathlon,Médaille,Feminin,Sabine-John.jpg,Première athlète allemande en argent
Jacqueline Hautenauve,Athlétisme,Belgique,Europe,1988,Heptathlon,Participation,Feminin,Jacqueline-Hautenauve.jpg,Première athlète belge à participer
Svetla Dimitrova,Athlétisme,Bulgarie,Europe,1988,Heptathlon,Participation,Feminin,Svetla-Dimitrova.jpg,Première athlète bulgare à participer
Satu Pauri,Athlétisme,Finlande,Europe,1988,Heptathlon,Participation,Feminin,satu-pauri-b3557632-489c-4805-a526-41f14443be4-resize-750.jpeg,Première athlète finlandaise à participer
Ragne Kytölä,Athlétisme,Finlande,Europe,1988,Heptathlon,Participation,Feminin,Ragne+Kytola.jpg,Première athlète finlandaise à participer
Zuzana Lajbnerová,Athlétisme,Tchécoslovaquie,Europe,1988,Heptathlon,Participation,Feminin,penta-88.jpg,Première athlète tchéque à particper
Natalya Shubenkova,Athlétisme,URSS,Europe,1988,Heptathlon,Participation,Feminin,"Natalya_Shubenkova,_March_2020.jpg",Première athlète soviétique à participer
Remigija Nazarovienė,Athlétisme,URSS;Lituanie,Europe,1988;1992,Heptathlon,Participation,Feminin,Remigija-Nazaroviene.jpg,Première athlète soviétique à participer - Première athlète lituanienne à participer
Svetlana Buraga,Athlétisme,URSS,Europe,1988,Heptathlon,Participation,Feminin,Svetlana-Buraga.jpg,Première athlète soviétique à participer
Sainiana Tukana,Athlétisme,Fidji,Océanie,1988,Heptathlon,Participation,Feminin,Sainiana-Tukana.jpg,Première athlète fidjienne à participer
Eunice Barber,Athlétisme,Sierra-Leone,Afrique,1992,Heptathlon,Participation,Feminin,800px-Osaka07_D3M_Eunice_Barber.jpg,Première athlète sierra-léonaise à participer
Ghada Shouaa,Athlétisme,Syrie,Afrique,1992;1996,Heptathlon,Participation;Titre,Feminin,shouaa.png,Première athlète syrienne à participer - Seule syrienne (homme compris) titrée aux Jeux
Alma Qeramixhi,Athlétisme,Albanie,Europe,1992,Heptathlon,Participation,Feminin,Alma-Qeramixhi.jpg,Première athlète albanaise à participer
Anzhela Atroshchenko,Athlétisme,Biélorussie;Turquie,Europe;Asie,1992;2004,Heptathlon,Participation,Feminin,Anzhela-Atroshchenko.jpg,Première athlète biélorusse à participer - Première athlète turque à participer
Anu Kaljurand,Athlétisme,Estonie,Europe,1992,Heptathlon,Participation,Feminin,Anu-Kaljurand.jpg,Première athlète estonienne à participer
Rita Ináncsi,Athlétisme,Hongrie,Europe,1992,Heptathlon,Participation,Feminin,Rita-Inancsi.jpg,Première athlète hongroise à participer
Anne Brit Skjæveland,Athlétisme,Norvège,Europe,1992,Heptathlon,Participation,Feminin,Anne-Brit-Skjaeveland.jpg,Première athlète polonaise à participer
Urszula Włodarczyk,Athlétisme,Pologne,Europe,1992,Heptathlon,Participation,Feminin,Urszula-Wlodarczyk.jpg,Première athlète polonaise à participer
Maria Kamrowska,Athlétisme,Pologne,Europe,1992,Heptathlon,Participation,Feminin,Maria-Kamrowska.jpg,Première athlète polonaise à participer
Liliana Năstase,Athlétisme,Roumanie,Europe,1992,Heptathlon,Participation,Feminin,Liliana_Nastase_1992.jpg,Première athlète roumaine à participer
Petra Văideanu,Athlétisme,Roumanie,Europe,1992,Heptathlon,Participation,Feminin,Petra-Vaideanu.jpg,Première athlète roumaine à participer
Irina Belova,Athlétisme,Russie,Europe,1992,Heptathlon,Médaille,Feminin,Irina-Belova.jpg,Première athlète russe en argent
Joanne Henry,Athlétisme,Nouvelle-Zélande,Océanie,1992,Heptathlon,Participation,Feminin,1994-JoanneHenry-002.jpg,Première athlète néo-zélandaise à participer
